ADM1_NAME,ADM2_NAME,year,month,SO2_column_number_density
Western,Sefwi Akontombra,2019.0,9.0,-4.502799127644286E-5
Western,Sekondi Takoradi,2019.0,9.0,-9.727655333818205E-5
Western,Sefwi-Wiawso,2019.0,9.0,-3.967487517297718E-5
Western,Shama,2019.0,9.0,-5.706583045213257E-5
Ashanti,Sekyere East,2019.0,9.0,-4.0711939745034614E-5
Western,Aowin,2019.0,9.0,1.176773615351557E-6
Western,Suaman,2019.0,9.0,6.656827248062454E-6
Western,Bia East,2019.0,9.0,-8.669006547364946E-6
Western,Bia West,2019.0,9.0,-5.674880941564899E-5
Western,Bodi,2019.0,9.0,-4.011595474989292E-5
Western,Juabeso,2019.0,9.0,-1.8660535812937934E-5
Western,Wassa East,2019.0,9.0,-6.400203084245053E-6
Western,Mpohor,2019.0,9.0,-4.498425837371595E-5
